Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID,source_databases,protein_reproductive,protein_thymus,protein_reliability,rna_reproductive,rna_thymus,protein_strict_expression,rna_reproductive_frac,rna_reproductive_and_thymus_frac,rna_deflated_reproductive_frac,rna_deflated_reproductive_and_thymus_frac,Canonical_Transcript_ID,rna_80_pct_filter,rna_90_pct_filter,rna_95_pct_filter,rna_99_pct_filter,filtered,biotype
TEX15,,,cancer-testis antigen,ENSG00000133863,CTpedia;daSilva2017,True,False,Enhanced,False,False,testis,0.4485,0.4485,0.5514,0.5514,ENST00000643185,False,False,False,False,False,protein_coding
ACTL7A,,,cancer-testis antigen,ENSG00000187003,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9987,0.9987,1.0,1.0,ENST00000333999,True,True,True,True,True,protein_coding
ACTL7B,,,cancer-testis antigen,ENSG00000148156,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9991,0.9991,1.0,1.0,ENST00000374667,True,True,True,True,True,protein_coding
BOLL,,,cancer-testis antigen,ENSG00000152430,CTpedia;daSilva2017,True,False,Enhanced,False,False,testis,0.9065,0.9065,0.9425,0.9425,ENST00000321801,True,True,False,False,True,protein_coding
BRDT,,,cancer-testis antigen,ENSG00000137948,CTpedia;CTexploreR_CT;daSilva2017,True,False,Approved,False,False,testis,0.9443,0.9444,0.9876,0.9876,ENST00000394530,True,True,True,False,True,protein_coding
CALR3,,,cancer-testis antigen,ENSG00000269058,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9813,0.9813,1.0,1.0,ENST00000269881,True,True,True,True,True,protein_coding
DDX4,,,cancer-testis antigen,ENSG00000152670,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.976,0.976,1.0,1.0,ENST00000353507,True,True,True,True,True,protein_coding
DMRTB1,,,cancer-testis antigen,ENSG00000143006,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9854,0.9854,1.0,1.0,ENST00000371445,True,True,True,True,True,protein_coding
DPPA3,,,cancer-testis antigen,ENSG00000187569,CTpedia;daSilva2017,no data,no data,no data,False,False,no data,0.6508,0.6508,0.9688,0.9688,ENST00000345088,True,True,True,False,False,protein_coding
DPPA5,,,cancer-testis antigen,ENSG00000203909,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,0.7647,0.7647,1.0,1.0,ENST00000370370,True,True,True,True,True,protein_coding
FKBP6,,,cancer-testis antigen,ENSG00000077800,CTpedia;daSilva2017,True,False,Enhanced,True,False,ovary; testis,0.9549,0.9551,1.0,1.0,ENST00000252037,True,True,True,True,True,protein_coding
GAGE1,,,cancer-testis antigen,ENSG00000205777,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,0.7826,0.7826,1.0,1.0,ENST00000381700,True,True,True,True,True,protein_coding
LDHC,,,cancer-testis antigen,ENSG00000166796,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,False,testis,0.9534,0.9534,0.9973,0.9973,ENST00000541669,True,True,True,True,True,protein_coding
MAEL,,,cancer-testis antigen,ENSG00000143194,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Approved,False,False,testis,0.8242,0.8242,0.9163,0.9163,ENST00000622874,True,True,False,False,False,protein_coding
MAGEA12,,,cancer-testis antigen,ENSG00000213401,CTpedia;CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,0.5625,0.5625,1.0,1.0,ENST00000393869,True,True,True,True,True,protein_coding
MAGEA8,,,cancer-testis antigen,ENSG00000156009,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,placenta; testis,0.9539,0.9539,1.0,1.0,ENST00000535454,True,True,True,True,True,protein_coding
MAGEB10,,,cancer-testis antigen,ENSG00000177689,CTpedia,no data,no data,no data,True,False,no data,0.6857,0.6857,1.0,1.0,ENST00000356790,True,True,True,True,True,protein_coding
MEIOB,,,cancer-testis antigen,ENSG00000162039,CTpedia;CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,0.8277,0.8318,1.0,1.0,ENST00000470044,True,True,True,True,True,protein_coding
NANOS2,,,cancer-testis antigen,ENSG00000188425,CTpedia;daSilva2017,True,False,Approved,True,False,testis,0.875,0.875,1.0,1.0,ENST00000341294,True,True,True,True,True,protein_coding
PASD1,,,cancer-testis antigen,ENSG00000166049,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,placenta; testis,1.0,1.0,1.0,1.0,ENST00000370357,True,True,True,True,True,protein_coding
PIWIL1,,,cancer-testis antigen,ENSG00000125207,CTpedia;daSilva2017,True,False,Enhanced,False,False,testis,0.9305,0.9305,0.9976,0.9976,ENST00000245255,True,True,True,True,True,protein_coding
RAD21L1,,,cancer-testis antigen,ENSG00000244588,CTpedia;CTexploreR_CT;daSilva2017,True,False,Approved,True,False,testis,0.9043,0.9043,1.0,1.0,ENST00000402452,True,True,True,True,True,protein_coding
SMC1B,,,cancer-testis antigen,ENSG00000077935,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9743,0.9744,1.0,1.0,ENST00000357450,True,True,True,True,True,protein_coding
SYCE2,,,cancer-testis antigen,ENSG00000161860,CTpedia;daSilva2017,True,False,Enhanced,False,True,testis,0.4486,0.4643,0.8286,0.8328,ENST00000293695,True,False,False,False,True,protein_coding
SYCP3,,,cancer-testis antigen,ENSG00000139351,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Enhanced,True,False,testis,0.9586,0.9586,1.0,1.0,ENST00000392927,True,True,True,True,True,protein_coding
TEX14,,,cancer-testis antigen,ENSG00000121101,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,False,testis,0.7472,0.7472,0.974,0.974,ENST00000389934,True,True,True,False,True,protein_coding
UTF1,,,cancer-testis antigen,ENSG00000171794,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.913,0.913,1.0,1.0,ENST00000304477,True,True,True,True,True,protein_coding
ZPBP,,,cancer-testis antigen,ENSG00000042813,CTpedia;daSilva2017,True,False,Enhanced,False,False,testis,0.956,0.956,0.9754,0.9754,ENST00000046087,True,True,True,False,True,protein_coding
ZPBP2,,,cancer-testis antigen,ENSG00000186075,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Enhanced,True,False,testis,0.9556,0.9556,1.0,1.0,ENST00000348931,True,True,True,True,True,protein_coding
C1orf94,,,cancer-testis antigen,ENSG00000142698,CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,0.819,0.819,1.0,1.0,ENST00000373374,True,True,True,True,True,protein_coding
ZC3H11B,,,cancer-testis antigen,ENSG00000215817,CTexploreR_CT,no data,no data,no data,True,False,no data,0.5052,0.5052,1.0,1.0,ENST00000651890,True,True,True,True,True,protein_coding
WDR64,,,cancer-testis antigen,ENSG00000162843,CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,0.8966,0.8966,1.0,1.0,ENST00000437684,True,True,True,True,True,protein_coding
POTEF,,,cancer-testis antigen,ENSG00000196604,CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,0.7826,0.7826,1.0,1.0,ENST00000409914,True,True,True,True,True,protein_coding
COX7B2,,,cancer-testis antigen,ENSG00000170516,CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,0.9976,0.9976,1.0,1.0,ENST00000355591,True,True,True,True,True,protein_coding
RBM46,,,cancer-testis antigen,ENSG00000151962,CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,0.9573,0.9574,1.0,1.0,ENST00000281722,True,True,True,True,True,protein_coding
TRIML2,,,cancer-testis antigen,ENSG00000179046,CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,0.8767,0.8767,1.0,1.0,ENST00000682553,True,True,True,True,True,protein_coding
RFPL4B,,,cancer-testis antigen,ENSG00000251258,CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,0.8636,0.8636,1.0,1.0,ENST00000441065,True,True,True,True,True,protein_coding
ZNF722,,,cancer-testis antigen,ENSG00000241149,CTexploreR_CT,no data,no data,no data,True,False,no data,0.9444,0.9444,1.0,1.0,ENST00000330020,True,True,True,True,True,protein_coding
DCAF4L2,,,cancer-testis antigen,ENSG00000176566,CTexploreR_CT;daSilva2017,True,False,Uncertain,True,False,testis,1.0,1.0,1.0,1.0,ENST00000319675,True,True,True,True,True,protein_coding
TEX48,,,cancer-testis antigen,ENSG00000230601,CTexploreR_CT,no data,no data,no data,True,False,no data,0.9923,0.9923,1.0,1.0,ENST00000436752,True,True,True,True,True,protein_coding
TUBA3C,,,cancer-testis antigen,ENSG00000198033,CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,0.9952,0.9952,1.0,1.0,ENST00000400113,True,True,True,True,True,protein_coding
CBY2,,,cancer-testis antigen,ENSG00000174015,CTexploreR_CT,True,False,Enhanced,True,False,testis,0.9948,0.9948,1.0,1.0,ENST00000310521,True,True,True,True,True,protein_coding
GARIN2,,,cancer-testis antigen,ENSG00000172717,CTexploreR_CT,no data,no data,no data,True,False,no data,0.883,0.8835,1.0,1.0,ENST00000612183,True,True,True,True,True,protein_coding
GOLGA6L7,,,cancer-testis antigen,ENSG00000261649,CTexploreR_CT,no data,no data,no data,True,False,no data,0.9441,0.9441,1.0,1.0,ENST00000567390,True,True,True,True,True,protein_coding
PRDM7,,,cancer-testis antigen,ENSG00000126856,CTexploreR_CT;daSilva2017,True,False,Approved,True,False,testis,1.0,1.0,1.0,1.0,ENST00000449207,True,True,True,True,True,protein_coding
CHCT1,,,cancer-testis antigen,ENSG00000141371,CTexploreR_CT,True,False,Enhanced,True,False,testis,0.9676,0.9677,1.0,1.0,ENST00000461535,True,True,True,True,True,protein_coding
POTEC,,,cancer-testis antigen,ENSG00000183206,CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000358970,True,True,True,True,True,protein_coding
ZNF729,,,cancer-testis antigen,ENSG00000196350,CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,0.95,0.95,1.0,1.0,ENST00000601693,True,True,True,True,True,protein_coding
ZNF723,,,cancer-testis antigen,ENSG00000268696,CTexploreR_CT,no data,no data,no data,True,False,no data,0.8293,0.8293,1.0,1.0,ENST00000600766,True,True,True,True,True,protein_coding
GFY,,,cancer-testis antigen,ENSG00000261949,CTexploreR_CT,no data,no data,no data,True,False,no data,0.52,0.52,1.0,1.0,ENST00000576655,True,True,True,True,True,protein_coding
CSTL1,,,cancer-testis antigen,ENSG00000125823,CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,0.9444,0.9444,1.0,1.0,ENST00000246020,True,True,True,True,True,protein_coding
VCX3A,,,cancer-testis antigen,ENSG00000169059,CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,0.9255,0.9255,1.0,1.0,ENST00000381089,True,True,True,True,True,protein_coding
VCX,,,cancer-testis antigen,ENSG00000182583,CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,0.9078,0.9078,1.0,1.0,ENST00000381059,True,True,True,True,True,protein_coding
VCX3B,,,cancer-testis antigen,ENSG00000205642,CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,0.8812,0.8812,1.0,1.0,ENST00000381032,True,True,True,True,True,protein_coding
PPP4R3C,,,cancer-testis antigen,ENSG00000224960,CTexploreR_CT,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000412172,True,True,True,True,True,protein_coding
DCAF8L2,,,cancer-testis antigen,ENSG00000189186,CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000451261,True,True,True,True,True,protein_coding
SSX5,,,cancer-testis antigen,ENSG00000165583,CTexploreR_CT;daSilva2017,True,False,Supported,False,False,testis,0.2667,0.2667,1.0,1.0,ENST00000347757,True,True,True,True,True,protein_coding
CXorf49,,,cancer-testis antigen,ENSG00000215115,CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000535490,True,True,True,True,True,protein_coding
CXorf49B,,,cancer-testis antigen,ENSG00000215113,CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000542739,True,True,True,True,True,protein_coding
TGIF2LX,,,cancer-testis antigen,ENSG00000153779,CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000283891,True,True,True,True,True,protein_coding
ESX1,,,cancer-testis antigen,ENSG00000123576,CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000372588,True,True,True,True,True,protein_coding
TEX13C,,,cancer-testis antigen,ENSG00000282815,CTexploreR_CT,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000695841,True,True,True,True,True,protein_coding
CT55,,,cancer-testis antigen,ENSG00000169551,CTexploreR_CT,no data,no data,no data,True,False,no data,0.6981,0.6981,1.0,1.0,ENST00000276241,True,True,True,True,True,protein_coding
CT45A10,,,cancer-testis antigen,ENSG00000269586,CTexploreR_CT;daSilva2017,True,False,Supported,False,False,testis,0.5882,0.5882,0.9278,0.9278,ENST00000682849,True,True,False,False,True,protein_coding
CXorf51B,,,cancer-testis antigen,ENSG00000235699,CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,0.9993,0.9993,1.0,1.0,ENST00000438525,True,True,True,True,True,protein_coding
VCY,,,cancer-testis antigen,ENSG00000129864,CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000250825,True,True,True,True,True,protein_coding
VCY1B,,,cancer-testis antigen,ENSG00000129862,CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000250823,True,True,True,True,True,protein_coding
RBMY1B,,,cancer-testis antigen,ENSG00000242875,CTexploreR_CT;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000383020,True,True,True,True,True,protein_coding
RBMY1A1,,,cancer-testis antigen,ENSG00000234414,CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000382707,True,True,True,True,True,protein_coding
RBMY1E,,,cancer-testis antigen,ENSG00000242389,CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000382658,True,True,True,True,True,protein_coding
AKNAD1,,,cancer-testis antigen,ENSG00000162641,CTexploreR_CTP;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000357393,True,True,True,True,True,protein_coding
DCAF4L1,,,cancer-testis antigen,ENSG00000182308,CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,False,testis,0.7067,0.7067,0.9959,0.9959,ENST00000333141,True,True,True,True,True,protein_coding
NAA11,,,cancer-testis antigen,ENSG00000156269,CTexploreR_CTP;daSilva2017,True,False,Approved,True,False,placenta; testis,0.8929,0.8929,1.0,1.0,ENST00000286794,True,True,True,True,True,protein_coding
OOEP,,,cancer-testis antigen,ENSG00000203907,CTexploreR_CTP,True,False,Approved,False,False,ovary,0.6331,0.6331,0.953,0.953,ENST00000370363,True,True,True,False,True,protein_coding
TMEM270,,,cancer-testis antigen,ENSG00000175877,CTexploreR_CTP,no data,no data,no data,True,False,no data,0.9742,0.9742,1.0,1.0,ENST00000320531,True,True,True,True,True,protein_coding
ANKRD7,,,cancer-testis antigen,ENSG00000106013,CTexploreR_CTP;daSilva2017,no data,no data,no data,False,False,no data,0.9835,0.9835,0.9989,0.9989,ENST00000477532,True,True,True,True,True,protein_coding
RNF148,,,cancer-testis antigen,ENSG00000235631,CTexploreR_CTP;daSilva2017,no data,no data,no data,True,False,no data,0.8872,0.8872,1.0,1.0,ENST00000434824,True,True,True,True,True,protein_coding
GARIN1B,,,cancer-testis antigen,ENSG00000135248,CTexploreR_CTP,no data,no data,no data,False,False,no data,0.9194,0.9194,1.0,1.0,ENST00000485070,True,True,True,True,True,protein_coding
TMEM210,,,cancer-testis antigen,ENSG00000185863,CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,False,testis,0.8324,0.8324,0.973,0.973,ENST00000413619,True,True,True,False,True,protein_coding
C12orf42,,,cancer-testis antigen,ENSG00000179088,CTexploreR_CTP,no data,no data,no data,False,True,no data,0.8227,0.8333,1.0,1.0,ENST00000378113,True,True,True,True,True,protein_coding
CCDC196,,,cancer-testis antigen,ENSG00000196553,CTexploreR_CTP,no data,no data,no data,True,False,no data,0.9815,0.9815,1.0,1.0,ENST00000636229,True,True,True,True,True,protein_coding
LRRC36,,,cancer-testis antigen,ENSG00000159708,CTexploreR_CTP,True,False,Enhanced,False,False,testis,0.775,0.775,0.8731,0.8731,ENST00000329956,True,False,False,False,True,protein_coding
DPEP3,,,cancer-testis antigen,ENSG00000141096,CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,False,testis,0.8255,0.8259,0.9641,0.9641,ENST00000672962,True,True,True,False,True,protein_coding
FBXO39,,,cancer-testis antigen,ENSG00000177294,CTexploreR_CTP;daSilva2017,no data,no data,no data,True,False,no data,0.8575,0.8579,1.0,1.0,ENST00000321535,True,True,True,True,True,protein_coding
C17orf50,,,cancer-testis antigen,ENSG00000270806,CTexploreR_CTP;daSilva2017,no data,no data,no data,False,False,no data,0.9303,0.9303,0.999,0.999,ENST00000605587,True,True,True,True,True,protein_coding
MEIOC,,,cancer-testis antigen,ENSG00000180336,CTexploreR_CTP,True,False,Enhanced,False,False,testis,0.6686,0.6686,0.9094,0.9094,ENST00000409122,True,True,False,False,True,protein_coding
C20orf141,,,cancer-testis antigen,ENSG00000258713,CTexploreR_CTP;daSilva2017,no data,no data,no data,False,False,no data,0.9688,0.9688,0.9953,0.9953,ENST00000603872,True,True,True,True,True,protein_coding
EFCAB8,,,cancer-testis antigen,ENSG00000215529,CTexploreR_CTP,no data,no data,no data,True,False,no data,0.5323,0.5397,1.0,1.0,ENST00000400522,True,True,True,True,True,protein_coding
GAGE12C,,,cancer-testis antigen,ENSG00000237671,CTexploreR_CTP;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000420398,True,True,True,True,True,protein_coding
GAGE12F,,,cancer-testis antigen,ENSG00000236362,CTexploreR_CTP;daSilva2017,True,False,Supported,False,False,testis,0.9121,0.9121,0.9281,0.9281,ENST00000639028,True,True,False,False,True,protein_coding
TKTL1,,,cancer-testis antigen,ENSG00000007350,CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,False,testis,0.8927,0.893,0.9703,0.9703,ENST00000369915,True,True,True,False,True,protein_coding
